~,~
a,a
b,b
c,c
d,d
e,e
f,f
g,g
h,h
i,i
j,j
k,k
l,l
m,m
n,n
o,o
p,p
q,q
r,r
s,s
t,t
u,u
v,v
w,w
x,x
y,y
z,z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
!,!
"""",""""
#,#
$,$
%,%
&,&
','
(,(
),)
*,*
+,+
",",","
-,-
.,.
/,/
:,:
;,;
<,<
=,=
>,>
?,?
@,@
[,[
\,\
],]
^,^
_,_
`,`
{,{
|,|
},}
~,~
aa,2.6666666666666673e-06
bb,2e-06
cc,1.6666666666666665e-06
dd,1.6666666666666665e-06
ee,2e-06
ff,2e-06
gg,2e-06
hh,2e-06
ii,2e-06
jj,2.333333333333333e-06
kk,2e-06
ll,1.3333333333333332e-06
mm,2e-06
nn,2e-06
oo,2e-06
pp,2.333333333333333e-06
qq,2.333333333333333e-06
rr,2.333333333333333e-06
ss,2e-06
tt,2e-06
uu,1.6666666666666665e-06
vv,2e-06
ww,2e-06
xx,1.6666666666666665e-06
yy,2e-06
zz,1.6666666666666665e-06
AA,1.6666666666666665e-06
BB,2e-06
CC,2e-06
DD,2.333333333333333e-06
EE,6.666666666666666e-07
FF,2e-06
GG,1e-06
HH,1.6666666666666665e-06
II,1.3333333333333332e-06
JJ,2e-06
KK,2e-06
LL,2.333333333333333e-06
MM,2.333333333333333e-06
NN,2.333333333333333e-06
OO,2e-06
PP,2e-06
QQ,2e-06
RR,1.6666666666666665e-06
SS,2e-06
TT,2e-06
UU,4e-06
VV,2.333333333333333e-06
WW,2e-06
XX,2e-06
YY,1.3333333333333332e-06
ZZ,2.333333333333333e-06
!!,2.333333333333333e-06
"""""",2e-06
##,1.6666666666666665e-06
$$,1.6666666666666665e-06
%%,2e-06
&&,2e-06
'',1.6666666666666665e-06
((,2e-06
)),1.6666666666666665e-06
**,2.333333333333333e-06
++,1.6666666666666665e-06
",,",2e-06
--,1.3333333333333332e-06
..,2e-06
//,1.6666666666666665e-06
::,1.6666666666666665e-06
;;,2.333333333333333e-06
<<,2e-06
==,2e-06
>>,2e-06
??,1.6666666666666665e-06
@@,2.333333333333333e-06
[[,1.6666666666666665e-06
\\,1.6666666666666665e-06
]],2e-06
^^,1.6666666666666665e-06
__,2.333333333333333e-06
``,2.333333333333333e-06
{{,2e-06
||,2.333333333333333e-06
}},2e-06
~~,2e-06
aa,0.012332000000000001
bb,0.010068333333333334
cc,0.04589566666666667
dd,0.015520333333333332
ee,0.012273000000000001
ff,0.018740333333333335
gg,0.013718666666666665
hh,0.015385666666666666
ii,0.018053666666666666
jj,0.04823566666666667
kk,0.017608666666666665
ll,0.04667633333333333
mm,0.015321666666666666
nn,0.032233
oo,0.014150333333333334
pp,0.015496333333333334
qq,0.013803666666666665
rr,0.05898433333333334
ss,0.022246000000000002
tt,0.015223333333333332
uu,0.047109333333333336
vv,0.025621333333333333
ww,0.04728933333333333
xx,0.013655333333333334
yy,0.012852666666666665
zz,0.011661333333333334
AA,0.009310666666666667
BB,0.012977333333333332
CC,0.013271999999999999
DD,0.012542
EE,0.015866333333333333
FF,0.013906000000000002
GG,0.017346
HH,0.014649333333333334
II,0.015473333333333334
JJ,0.013738333333333333
KK,0.012848333333333335
LL,0.014434666666666667
MM,0.013975
NN,0.022715666666666665
OO,0.011813333333333334
PP,0.013597999999999999
QQ,0.013143000000000002
RR,0.014692666666666666
SS,0.016130000000000002
TT,0.014451
UU,0.012735999999999999
VV,0.012893666666666666
WW,0.012031
XX,0.012796
YY,0.012969
ZZ,0.034083333333333334
!!,0.020474000000000003
"""""",0.014797333333333334
##,0.015007333333333333
$$,0.014522666666666665
%%,0.015130666666666667
&&,0.01580166666666667
'',0.015906
((,0.013277333333333334
)),0.016085666666666668
**,0.015270666666666668
++,0.013486
",,",0.013806333333333332
--,0.013394333333333333
..,0.017149666666666664
//,0.013220666666666665
::,0.014522666666666665
;;,0.013118666666666667
<<,0.028338000000000002
==,0.013706666666666666
>>,0.015397666666666665
??,0.016404666666666665
@@,0.019895333333333334
[[,0.012860333333333335
\\,0.021909333333333333
]],0.015952
^^,0.014648333333333333
__,0.013610333333333334
``,0.014013
{{,0.015185666666666667
||,0.015218666666666667
}},0.012392666666666668
~~,0.015308
aa,0.011425
bb,0.009681333333333333
cc,0.04355666666666667
dd,0.013247333333333333
ee,0.011009333333333335
ff,0.09977199999999999
gg,0.013024333333333332
hh,0.014620666666666665
ii,0.015924
jj,0.013526666666666666
kk,0.013195666666666666
ll,0.014123333333333335
mm,0.013016666666666668
nn,0.013286666666666667
oo,0.013328333333333333
pp,0.015328666666666666
qq,0.015143333333333333
rr,0.012627666666666667
ss,0.013472333333333334
tt,0.012355
uu,0.014032000000000001
vv,0.021854333333333333
ww,0.015067666666666665
xx,0.014690666666666666
yy,0.011894666666666666
zz,0.015779333333333333
AA,0.013549333333333332
BB,0.013929333333333335
CC,0.014545666666666665
DD,0.012614
EE,0.013740333333333334
FF,0.012945666666666666
GG,0.012414333333333333
HH,0.012211
II,0.013762666666666666
JJ,0.014391333333333332
KK,0.011876666666666667
LL,0.012326333333333333
MM,0.012736333333333334
NN,0.015921
OO,0.015583333333333333
PP,0.014738666666666666
QQ,0.014959333333333333
RR,0.01355
SS,0.017630666666666666
TT,0.014154333333333333
UU,0.012119
VV,0.014056333333333332
WW,0.013516333333333333
XX,0.014407666666666666
YY,0.013446
ZZ,0.013882333333333335
!!,0.015407666666666667
"""""",0.012395333333333333
##,0.013757333333333331
$$,0.012800666666666669
%%,0.017242666666666667
&&,0.013371
'',0.012568000000000001
((,0.015264666666666668
)),0.011675666666666668
**,0.013434666666666666
++,0.011486333333333333
",,",0.014254666666666665
--,0.015899
..,0.013428666666666667
//,0.014052333333333333
::,0.013007
;;,0.013749333333333334
<<,0.013344333333333333
==,0.011343
>>,0.013807333333333333
??,0.010375666666666667
@@,0.03986733333333333
[[,0.019546333333333332
\\,0.017862
]],0.019136
^^,0.024575333333333338
__,0.018497333333333334
``,0.016448
{{,0.014325333333333334
||,0.01958
}},0.014306
~~,0.017790333333333335
aa,0.015431333333333333
bb,0.024511333333333333
cc,0.020565333333333335
dd,0.015956
ee,0.016036666666666668
ff,0.01941633333333333
gg,0.016673666666666666
hh,0.017629
ii,0.01717866666666667
jj,0.018458
kk,0.021390999999999997
ll,0.018319333333333337
mm,0.016867666666666666
nn,0.021640000000000003
oo,0.013335666666666668
pp,0.014231
qq,0.013134333333333331
rr,0.013698333333333333
ss,0.013168333333333332
tt,0.01544
uu,0.015321333333333334
vv,0.023908
ww,0.014089666666666667
xx,0.016166333333333335
yy,0.014606000000000001
zz,0.014833333333333332
AA,0.016036666666666668
BB,0.013378666666666665
CC,0.013946333333333333
DD,0.014753999999999998
EE,0.017461
FF,0.013621333333333333
GG,0.014107333333333333
HH,0.014427
II,0.015569
JJ,0.015277333333333332
KK,0.014809333333333332
LL,0.016214000000000003
MM,0.013585333333333333
NN,0.015203
OO,0.012894000000000001
PP,0.017295333333333333
QQ,0.01599633333333333
RR,0.015210666666666666
SS,0.015228
TT,0.02053
UU,0.014350333333333333
VV,0.014612333333333333
WW,0.013833666666666666
XX,0.013476
YY,0.036513666666666666
ZZ,0.015569666666666667
!!,0.013965333333333335
"""""",0.013910666666666667
##,0.04403233333333333
$$,0.013778333333333332
%%,0.045860333333333336
&&,0.01384
'',0.015202000000000002
((,0.03534433333333333
)),0.04726266666666667
**,0.013584666666666667
++,0.018453333333333335
",,",0.013438
--,0.013921999999999999
..,0.012584
//,0.011857
::,0.050521
;;,0.014076333333333335
<<,0.024817000000000002
==,0.021602999999999997
>>,0.014277666666666666
??,0.014371
@@,0.03262266666666667
[[,0.014354
\\,0.015208
]],0.048125
^^,0.013365333333333333
__,0.04985133333333334
``,0.019274666666666666
{{,0.029214333333333332
||,0.018401666666666667
}},0.014712333333333334
~~,0.013356
aa,0.04407355
bb,0.0336702
cc,0.03716439999999999
dd,0.02188005
ee,0.018196949999999996
ff,0.015603200000000001
gg,0.06771989999999997
hh,0.01869635
ii,0.018575
jj,0.0162737
kk,0.015486099999999997
ll,0.01457035
mm,0.015037749999999997
nn,0.0166879
oo,0.016332649999999997
pp,0.017493850000000002
qq,0.015873500000000002
rr,0.015132499999999998
ss,0.01593485
tt,0.01845725
uu,0.0175754
vv,0.027432799999999997
ww,0.016232699999999996
xx,0.02013115
yy,0.016884
zz,0.016585049999999997
AA,0.019199150000000005
BB,0.028381299999999998
CC,0.02905994999999999
DD,0.0346055
EE,0.02201525
FF,0.0405299
GG,0.0297127
HH,0.029397649999999997
II,0.032775200000000004
JJ,0.037995900000000006
KK,0.025713749999999997
LL,0.019217199999999997
MM,0.019540650000000003
NN,0.015204449999999998
OO,0.017350400000000002
PP,0.0173593
QQ,0.01639775
RR,0.019857350000000003
SS,0.022445699999999996
TT,0.020284199999999995
UU,0.021883350000000003
VV,0.018057350000000003
WW,0.0171401
XX,0.026481849999999994
YY,0.016195549999999996
ZZ,0.02045145
!!,0.016471850000000003
"""""",0.016290199999999998
##,0.01613855
$$,0.0179821
%%,0.0160393
&&,0.0167915
'',0.01627385
((,0.01684335
)),0.016915850000000003
**,0.02494765
++,0.035198850000000004
",,",0.03337665
--,0.020009599999999995
..,0.02549075
//,0.030701849999999996
::,0.0286109
;;,0.028076349999999993
<<,0.022330250000000003
==,0.031931499999999995
>>,0.0188759
??,0.02456485
@@,0.0151368
[[,0.01560645
\\,0.014336200000000002
]],0.01536285
^^,0.017369749999999996
__,0.014840999999999998
``,0.015463400000000002
{{,0.01598165
||,0.016251350000000005
}},0.016243450000000003
~~,0.018100449999999997
